TOKENID	WORDFORM	LEMMACANDIDATES	GOLDLEMMA	TEXTBEFORE	WORD	TEXTAFTER
107593008	suites	suite|suites	suite	Monsieur le Président , ce qui est arrivé à Mme Müller devrait avoir des	suites	.
108554981	clémentines	clémentine|clémentines	clémentine	de M. García-Margallo y Marfil , au nom du groupe PPE - DE , sur les	clémentines	.
124273300	Pouilles	pouille|pouilles	Pouilles	Chers collègues , je profite de l’ occasion pour souhaiter , rapidement mais sincèrement , la bienvenue à la classe de troisième année de l’ école Don Montemurro , de Gravina (	Pouilles	) , qui a obtenu le prix « Construisons l’ Europe » , institué par la Chambre des Députés italienne .
39263027	Pouilles	pouille|pouilles	Pouilles	au cours de ces dernières semaines , rien qu’ en Italie , plus de 1500 personnes provenant du Kosovo ont débarqué sur les côtes des	Pouilles	entraînant toutes les difficultés que cela comporte en matière d’ accueil et de secours .
11524550	guides	guide|guides	guide	Ne faudrait -il pas envisager de revenir au système antérieur où des guides accompagnaient les marchandises , qu’ il s’ agisse d’ animaux morts ou vivants , de leur point de départ à leur point de destination , lesquels	guides	( comme nous les appelons chez nous ) étaient parfaitement supervisés par le vétérinaire compétent ?
121211796	serve	serf|serve	servir	Il a été convenu que la banque	serve	les objectifs fixés pour l’ Union européenne .
84115265	journaux	journal|journau	journal	Souhaitant demander que la BCE prenne note des remarques de la Cour des comptes , j’ aurais pu utiliser ce rapport pour mener des attaques contre la BCE et faire la une des	journaux	au pays , mais ce n’ était pas le rôle du rapporteur .
67271170	règles	règle|règles	règle	Car un grand pays peut compenser ses mauvaises	règles	grâce à ses régions mieux loties .
103909404	environs	environ|environs	environ	les questeurs nouvellement élus peuvent -ils dresser un inventaire des vols survenus l’ année dernière dans les	environs	du Parlement européen à Bruxelles et entreprendre une action dure envers la police afin qu’ elle prenne des mesures car je peux vous assurer que subir cela n’ est pas une partie de plaisir .
112476959	Argentine	argentin|argentine	Argentine	En outre , le soutien aux mesures gouvernementales anti-populaires en	Argentine	et la peur que celle -ci échappe à l’ emprise du FMI apparaissent clairement .
48779652	jeans	jean|jeans	jeans	J’ ai pensé que si seulement il était aussi simple que nos enfants et moi puissions nous habiller en	jeans	, nous aurions évidemment pu avoir une très très bonne collaboration avec les fabricants de jeans , qui sont actuellement dans l’ embarras .
71191924	journaux	journal|journau	journal	Cela s’ applique seulement - à ce que j’ ai compris - aux animaux excrétant des agents pathogènes ingérés avec la nourriture contaminée , et non pas , comme l’ ont supposé certains	journaux	, aux animaux couvant cette maladie ou en souffrant .
84431762	baie	bai|baie	baie	Ces écologistes sont encore en détention et , comme le Parlement s’ est montré , pour ainsi dire , peu sensible envers la sauvegarde des intérêts des citoyens des environs de Gibraltar et de la	baie	d’ Algésiras , je demande que le nécessaire soit fait afin que ces pacifistes écologistes puissent dormir chez eux .
165256299	coordonnées	coordonnée|coordonnées	coordonnées	Que pense la Commission de la prolifération des sites web à contenu haineux et , en particulier , de ceux qui incitent à la haine , comme les sites racistes , antisémites et anti-Roms , qui parfois même indiquent les noms et les	coordonnées	d’ activistes qui , de ce fait , peuvent être contactés ?
24320656	cours	cour|cours	cours	La journée internationale de la Femme , au	cours	de laquelle non seulement des femmes sont descendues dans la rue mais aussi des hommes dont je faisais partie , jette une lumière crue sur le fondamentalisme islamique .
7112937	directrice	directeur|directrice	directrice	Il convient ici de souligner tout particulièrement que le succès de la procédure de conciliation est le résultat de la coordination et de la direction extraordinaires de Nicole Fontaine , représentante et	directrice	des négociations au Parlement , mais également de l’ accueil largement favorable de notre position par la présidence néerlandaise en la personne de Mme Joritsma , ainsi que du conseil de la Commission en la personne du commissaire Bangemann .
27289974	postes	poste|postes	poste	Je félicite Mme Dührkop pour sa concision ainsi que pour avoir le courage d’ introduire des orientations utiles mais limitées dans un certain nombre de	postes	.
8992244	bruit	bruir|bruire	bruit	Monsieur le Président , le	bruit	n’ est pas seulement constitutif de la culture urbaine , comme l’ a dit notre estimée collègue et rapporteur , il l’ est aussi de la culture touristique d’ aujourd’hui - d’ un tourisme de masse le plus souvent , principalement sur le littoral .
134140528	communs	commun|communs	commun	Pourtant , les fonds financiers	communs	devraient être gérés avec une prudence plus grande encore que des fonds personnels , étant donné que tout gaspillage d’ argent revient toujours à en priver les membres les plus démunis de la société .
82583782	échecs	échec|échecs	échec	Je crois que les deux	échecs	sont le manque de démocratie , parce que la possibilité d’ ouvrir le Conseil à l’ examen du public a été ignorée alors que nombre d’ entre nous sentent que le temps était venu de le faire , et l’ illogisme de la repondération des votes , avec une approche pour le Conseil et une autre pour le Parlement européen .
204565596	serve	serf|serve	servir	Nous devrions nous efforcer de promouvoir ces moyens de réglementation des relations procédurales dans les affaires pénales pour garantir les droits précités à toutes les parties des procès pénaux , parties victimes et lésées ou contrevenants , afin d’ obtenir un jugement équitable et démocratique qui	serve	pleinement toutes les peines prononcées , à savoir non seulement la répression mais également la réhabilitation sociale et l’ éducation .
130425384	communs	commun|communs	commun	Les objectifs	communs	fixés sont si ambitieux , dans le domaine de l’ utilisation des sources d’ énergie renouvelable par exemple , que leur concrétisation dépend essentiellement des États membres .
64783205	communs	commun|communs	commun	Le nombre d’ obstacles reste identique , mais je suis convaincue qu’ au rythme où le travail de législation se poursuit , nous atteindrons nos objectifs	communs	en vue d’ élaborer une politique de l’ eau dont nous pourrons être fiers .
132325874	bruit	bruir|bruire	bruit	On appelle ce dispositif un eco-silencer , car il diminue aussi sensiblement le	bruit	émis .
20210510	bienvenue	bienvenu|bienvenue	bienvenu	Je voudrais souhaiter la	bienvenue	au Président en exercice du Conseil européen et premier ministre luxembourgeois M. Jean-Claude Juncker .
107971518	clémentines	clémentine|clémentines	clémentine	Pour ce qui est de la question des	clémentines	- le président du Conseil a déjà mentionné cette question - , je signalerai uniquement que nous sommes en train de négocier avec les États-Unis afin d’ essayer de chercher une solution au problème avant la prochaine récolte .
136246796	négative	négatif|négative	négatif	Au-delà de la décision que vous prendrez et que l’on n’ imagine pas une seconde	négative	, c’ est le sens du projet européen et l’ architecture des traités actuels qui sont en question .
7636812	Lacs	lac|lacs	Lac	Elle est , d’ autre part , une preuve ultérieure de l’ absence d’ une politique étrangère de l’ Europe et je souhaite que le Conseil profite enfin de l’ occasion de la révision du traité pour se doter d’ une politique étrangère de sécurité commune , apte à éviter la honte européenne de ces derniers mois dans la région des Grands	Lacs	africains .
204265549	décombres	décombre|décombres	décombres	J’ estime qu’ il est tout particulièrement tragique que , parmi les	décombres	, se trouvent actuellement des personnes qui pourraient encore être sauvées .
189807439	parents	parent|parents	parent	Je suis particulièrement inquiète de l’ avenir des adolescents et des enfants , raison pour laquelle j’ ai proposé une action afin de sensibiliser les citoyens à la détérioration de l’ état de santé mentale des enfants dont les parents ont émigré , en parallèle à l’ introduction de programmes scolaires conçus pour aider ces jeunes à faire face aux problèmes psychologiques liés à l’ absence de leurs	parents	.
101003704	maîtresse	maître|maîtresse	maîtresse	Ensuite , j’ ai été ravi de constater que les deux commissions parlementaires qui ont émis des avis sur la proposition - la commission de l’ environnement , de la santé publique et de la politique des consommateurs , dont le rapporteur est M. Maaten , et la commission juridique et du marché intérieur , dont le rapporteur est M. Wieland - ont accepté l’ idée	maîtresse	de la proposition , sujette à un certain nombre d’ amendements .
165889621	suites	suite|suites	suite	il y aura des	suites	et on tirera les conclusions nécessaires .
79045545	seconde	second|seconde	seconde	Dans la	seconde	qui me reste , puisqu’on parle des droits fondamentaux , je voudrais m’ indigner devant le silence et la complicité de la plupart des pays et institutions face au massacre en cours du peuple palestinien , auquel nous devrions affirmer un peu plus notre solidarité .
124331140	actrices	acteur|actrice	actrice	Les	actrices	américaines doivent -elles vraiment recourir à des produits européens uniquement parce qu’ ici il n’ y a pas d’ expérimentations animales ?
41246779	serve	serf|serve	servir	Ce que je redoute le plus , c’ est que l’ arrivée des pays de l’ Est - sur laquelle on pourrait être d’accord parce que le projet est stratégique - ne	serve	de prétexte à trois choses .
217905943	coordonnées	coordonnée|coordonnées	coordonné	Monsieur le Président , des politiques	coordonnées	sont essentielles pour parvenir à des résultats , de même qu’ un mécanisme destiné à induire des changements de manière dynamique , ce que l’on parviendra mieux à faire , selon moi , en impliquant toutes les parties prenantes de façon structurée .
24995396	malaise	malais|malaise	malais	Je dois exprimer un certain	malaise	à propos du paragraphe 10 , cité à plusieurs reprises .
231047304	générale	général|générale	général	En outre , je pense que la révision	générale	devrait s’ inscrire dans la nouvelle proposition de règlement qui , je l’ espère , sera déposée sans délai .
161091112	matériaux	matériau|matériaux	matériau	Si l’on ajoute que moins de 20% des déchets font l’ objet d’ un recyclage , que la moitié des	matériaux	en fin de vie n’ est pas transformée et finit éparpillée dans la nature et qu’ en outre , la multiplication des incinérateurs et décharges dangereuses pour l’ environnement et la santé n’ est pas une politique tenable , c’ est toute la philosophie de la gestion des déchets qui doit être repensée , et cela , autour de 3 axes forts :
131953334	nationaux	national|nationaux	national	Malheureusement , des aspects de ce rapport , ayant trait aux bénévoles , minent le salaire minimum au Royaume-Uni , qui cherche à protéger les droits tant des migrants que des	nationaux	en s’ assurant que ceux qui sont engagés à titre bénévole , sans conditions d’ emploi adéquates , ne prennent pas la place d’ un travailleur à temps plein ou partiel .
166606111	demie	demi|demie	demie	Ai -je raison de penser que j’ ai deux minutes et	demie	de temps de parole ?
52552296	Pouilles	pouille|pouilles	Pouilles	Je demande en outre que le Parlement européen se fasse le promoteur d’ une initiative de solidarité , également économique , en faveur des habitants des	Pouilles	qui ont non seulement accueilli et continuent à accueillir généreusement des dizaines de milliers de réfugiés albanais et kosovares , mais qui paient aussi durement les coûts de la guerre en termes de difficultés logistiques , avec la fermeture des aéroports de la région et la pénalisation de l’ ensemble du secteur touristique , qui enregistre de nombreux désistements .
41142067	arrivée	arrivé|arrivée	arrivée	Je suis finalement assez rassuré de voir que - comme M. Rübig l’ a dit clairement - le ministre allemand des Finances est directement entré dans le dernier virage avant la ligne d’	arrivée	et qu’ il soutient lui aussi des mesures de développement de confiance plutôt que de mettre en doute la souveraineté et l’ indépendance de la Banque centrale européenne par des déclarations irréfléchies .
155312363	Guides	guide|guides	Guides	Même si j’ estime que ce rapport constitue , en grande partie , une bonne chose pour les entreprises européennes , il faut également préciser qu’ il pourrait ouvrir la voie à une intensification du type de pratiques auxquelles recourt European City	Guides	.
108558732	clémentines	clémentine|clémentines	clémentine	En premier lieu , il y a une série de considérations et de demandes par rapport à la décision unilatérale des États-Unis de suspendre les importations de	clémentines	espagnoles .
58671521	générales	général|générale	général	l’ organisme communautaire est chargé de la collecte harmonisée et organique de statistiques	générales	en provenance de divers États membres , le public et les administrations sont ses principaux clients et ce sont eux qui fournissent donc le travail .
65342274	générales	général|générale	général	Ces assemblées	générales	accompagneraient les actions dans les régions respectives .
94900338	gazeuses	gazeuse|gazeux	gaseux	Pour replacer cette directive dans son contexte , je voudrais faire remarquer que les bateaux de plaisance dans l’ Union européenne sont responsables de moins de 0,5 % de l’ ensemble des émissions	gazeuses	dans l’ Union et si cette réglementation doit avoir effectivement un grave impact sur les propriétaires de petites embarcations , les contraignant inutilement à se retirer de la circulation sur les voies navigables , cela ne fera malheureusement qu’ accroître la désillusion de nombreux citoyens vis-à-vis de l’ Europe .
164414337	Philippines	philippin|philippine	Philippines	Madame la Présidente , la situation des droits de l’ homme aux	Philippines	est alarmante et ne cesse de se dégrader .
94767708	inconnues	inconnu|inconnue	inconnue	Il semble inutile de parler d’ une nouvelle philosophie des ressources propres sans avoir dégagé auparavant les	inconnues	essentielles .
115247269	honoraires	honoraire|honoraires	honoraires	La Commission pourrait -elle expliquer les modalités de sélection de ces personnes et préciser le montant alloué chaque année pour payer leur formation , leurs dépenses et leurs	honoraires	?
28760686	Campos	campo|campos	Campos	Par conséquent , la décision dit clairement qu’ il n’ y a pas lieu momentanément de lever l’ immunité et elle demande que l’on nous envoie plus d’ informations lorsque l’ instruction du rapport sera plus avancé et , entre-temps , elle ne s’ oppose pas à ce que M. Ribeiro	Campos	soit entendu dans ces conditions .
68506667	vannes	vanne|vannes	vanne	Or , le rapporteur entend ouvrir d’ un seul coup les	vannes	du lac de retenue l’ an prochain !
47019692	demie	demi|demie	demi	Cela dit , Monsieur McMahon tenez compte du fait que nous avons commencé aujourd’hui à cinq heures et	demie	de l’ après-midi précise .
196614104	vannes	vanne|vannes	vanne	L’ idée n’ est pas d’ ouvrir les	vannes	et de recevoir des centaines d’ amendements réécrivant de longues résolutions préparées par une commission de 700 et quelques députés .
154309025	baies	bai|baie	baie	En réalité , il est scandaleux que la commission de l’ agriculture et du développement rural soumette au Parlement européen , de but en blanc , une motion de résolution telle que celle -ci , qui parle d’ importation excessive de fruits à	baies	des pays tiers et cherche notamment à instaurer les éléments suivants :
58023205	fils	fil|fils	fil	Les seigneurs de la terre prélèvent -ils l’ impôt sur leurs	fils	ou sur les autres ?
82329339	arrivée	arrivé|arrivée	arrivée	À côté de l’	arrivée	de l’ euro dans nos portefeuilles , nous saluerons également la naissance du statut des victimes , nécessaire à la construction d’ un véritable espace judiciaire européen .
863171	générale	général|générale	général	L’ adoption d’ une réglementation communautaire	générale	pourrait donc altérer , dans certains secteurs , des équilibres péniblement construits depuis fort longtemps .
173425175	postes	poste|postes	poste	Nous espérons que celle -ci soit réalisée rapidement dans tous les États membres et que les résultats des élections européennes de 2009 seront pris en considération lors de la nomination des	postes	, conformément au nouveau traité .
89649336	matériaux	matériau|matériaux	matériau	Cette approche , qui ambitionne de pousser les fabricants à créer des produits et	matériaux	plus sûrs et surtout , plus facilement recyclables , représente également l’ idée de fond du Livre vert sur le PVC .
63985009	lacs	lac|lacs	lac	En conclusion , je dirai que cette directive n’ est pas assez ambitieuse pour résoudre les problèmes liés au parc automobile actuel et qu’ elle est assez hypocrite quant au sort réservé aux épaves qui encombrent encore nos forêts , nos	lacs	, nos jardins .
135143320	suites	suite|suites	suite	Notre attention doit dès lors se porter essentiellement sur les groupes les plus vulnérables de la population , tels que les enfants , qui , comme cela a déjà été dit , meurent par centaines de milliers tous les ans des	suites	de maladies diarrhéiques , sont emportés par des maladies infectieuses parce qu’ on ne leur donne pas accès aux vaccins susceptibles de les sauver ou viennent grossir les rangs des centaines de milliers de victimes annuelles du paludisme parce que leur système immunitaire n’ est pas suffisamment résistant pour supporter cette maladie .
44300918	faux	fau|faux	faux	Si on le pensait , le gouvernement fédéral allemand s’ inscrirait en	faux	.
39923778	taux	tau|taux	taux	Pour ce qui est de la Lettonie , de la Lituanie et de la Slovaquie , nous avons conclu que le	taux	de progrès a été suffisant pour pouvoir recommander positivement l’ ouverture des négociations à la fin de 1999 pour la Lettonie .
47136023	nationaux	national|nationaux	national	Un État sain est avant tout un État qui gère ses flux migratoires et permet à ses	nationaux	de pouvoir travailler et de sortir le soir en toute sécurité .
182754603	matériaux	matériau|matériaux	matériau	Il faut également tenir compte de leur nature spécifique , qu’ il s’ agisse des industries du textile , de l’ habillement et des chaussures , des industries automobile , navale et chimique , ou de tout autre secteur traditionnel ou nouveau faisant appel à des	matériaux	nouveaux et à des technologies innovantes .
54123458	Fonds	fond|fonds	fonds	Le	Fonds	social européen est un fonds structurel s’ adressant exclusivement à l’ individu .
140255336	prochaines	prochain|prochaine	prochain	Au cours des 15	prochaines	années , le nombre de personnes très âgées , c’est-à-dire celles ayant plus de 80 ans , grimpera de presque 50% .
229743181	mois	moi|mois	mois	J’ espère que nous serons en mesure d’ avancer sur ce sujet au cours des semaines et des	mois	prochains .
204599191	êtres	être|êtres	êtres	Aujourd’hui , un journal néerlandais relate le cas d’ une productrice d’ asperges arrêtée parce qu’ elle est soupçonnée de traite des	êtres	humains et d’ esclavagisme à l’ encontre de Roumains , c’est-à-dire de citoyens européens .
189361295	environs	environ|environs	environ	Il affirme tout aussi clairement que nous devons nous concentrer sur les	environs	géographiques de l’ Union européenne .
27285576	prochaines	prochain|prochaine	prochain	Et nous persistons à dire que les perspectives financières en vigueur doivent servir de base aux	prochaines	perspectives , notamment en ce qui concerne le pourcentage des ressources propres :
103957425	Argentine	argentin|argentine	Argentine	C’ est le moment , pour l’ Union , de montrer une forte solidarité avec l’	Argentine	et , de façon générale , avec le Mercosur , d
238586146	coordonnées	coordonnée|coordonnées	coordonnées	À la base , un annuaire professionnel trompeur envoie un formulaire qui semble uniquement demander de mettre à jour les	coordonnées	personnelles ou professionnelles en vue d’ une insertion , en apparence gratuite , dans l’ annuaire professionnel .
197560472	fois	foi|fois	fois	Nous déplorons encore une	fois	la prolifération des incendies au cours de l’ été 2009 , qui ont causé des pertes en vies humaines .
75280994	folle	folle|fou	fou	Il aura fallu connaître le scandale de la vache	folle	pour que l’on prenne conscience de la nécessité d’ améliorer la traçabilité et l’ étiquetage des produits alimentaires .
131169815	gazeuses	gazeuse|gazeux	gazeux	Partant , je ne suis pas d’accord avec la dérogation octroyée aux bateaux à vapeur , avec la tolérance de 3dB pour tous les types de moteurs ni avec les valeurs limites appliquées pour les émissions	gazeuses	dans des eaux intérieures spécifiques .
161787098	grève	grever|gréver	grever	Le surcroît d’ alcool de vin produit de la sorte perturbe le marché de l’ alcool éthylique et	grève	le budget de l’ Union .
154130209	honoraires	honoraire|honoraires	honoraires	J’ espère que l’ amendement que nous proposons au Parlement et qui demande aux États membres d’ abolir le système des	honoraires	fixes ou minimaux ainsi que l’ interdiction de négocier le paiement selon les résultats obtenus , lorsque ces éléments agissent comme des entraves à la qualité des services et à la concurrence , sera soutenu .
156354501	héros	héro|héros	héros	Un autre	héros	moderne russe , et en fait européen , est Chourchadze , anciennement appelé Chourchine , un jeune étudiant de Saint-Pétersbourg dont j’ ai entendu parler dans la presse .
179244996	inconnues	inconnu|inconnue	inconnue	Les	inconnues	sont nombreuses , si bien que le plus important sera de mettre en œuvre les orientations .
172989584	journaux	journal|journau	journal	Les	journaux	télévisés ont largement commenté cet accident ;
68223382	lunettes	lunette|lunettes	lunettes	» , ce à quoi l’ élève répondait « Non , mais je porte les	lunettes	de ma grand-mère » .
213220217	malaise	malais|malaise	malais	Nous retenons en otage les contribuables européens , et leur	malaise	grandit de jour en jour .
15893637	Philippines	philippin|philippine	Philippines	Je pense notamment au problème des	Philippines	, aux 240 000 Philippins de Mindanao , une région où sévit la guérilla musulmane , qui ont besoin d’ exporter leurs algues Euchema et qui bénéficiaient jusqu’ ici d’ un régime favorable , depuis 1996 en tout cas .
198065770	prochaines	prochain|prochaine	prochain	Nous savons aussi que M. Barroso , qui symbolise les échecs de l’ intégration européenne au cours de ces cinq dernières années , continuera sans doute à le faire au cours des cinq	prochaines	.
17467234	travailleuses	travailleur|travailleuse	travailleuse	Le bas niveau de salaire des	travailleuses	à temps partiel se reflète dans leurs droits actuels à l’ assurance sociale .
32454856	êtres	être|êtres	être	Si nous parlons de la vraie peine de mort , nous devons également envisager la peine de mort le plus souvent appliquée chez nous , à savoir la peine de mort pour les	êtres	vivants pas encore nés .
53788165	échecs	échec|échecs	échec	Mais nous avons aussi essuyé quelques	échecs	.
32514125	vivres	vivre|vivres	vivres	La Commission suit avec attention l’ évolution de la situation en Guinée-Bissau , et elle est consciente des difficultés que la population civile affronte actuellement , notamment à cause du manque de	vivres	, de médicaments et d’ eau .
101307393	vivres	vivre|vivres	vivres	En outre , l’ embargo américain que subit cette île l’ empêche d’ acheter les	vivres	et les médicaments dont le peuple cubain a cruellement besoin .
77963964	premières	premier|première	premier	Il est toutefois essentiel de connaître la quantité et la nature des matières	premières	contaminées qui sont parvenues dans les aliments pour animaux touchés .
199360808	spirale	spiral|spirale	spirale	Il est temps que cette	spirale	infernale s’ arrête .
122170310	sens	sen|sens	sens	Je souhaite que ce Parlement soit attentif à cette violation des droits des minorités et j’ en appelle au bon	sens	pour pouvoir poursuivre l’ expérience menée par ces écoles .
23356703	martyre	martyr|martyre	martyre	Les victimes souffrent le	martyre	, elles meurent asphyxiées car leur système nerveux ne stimule plus la respiration .
102621771	négative	négatif|négative	négative	Dans la	négative	, la Commission n’ estime -t-elle toutefois pas que le système mérite au moins d’ être étudié , dans la perspective de futures dispositions dans ce domaine ?
64107535	droite	droit|droite	droit|droite	Mais , personnellement , je continue à me battre contre l’ extrême	droite	, à faire signer une pétition pour exiger des mesures pouvant aller jusqu’ à l’ exclusion de l’ Autriche , à organiser une grande manifestation citoyenne ce samedi à 15 heures à Lille .
87756116	veilleuse	veilleur|veilleuse	veilleuse	C’ est pourquoi je vous demande , Monsieur le Président - puisque ce n’ est pas Mme Fontaine qui occupe la tribune , mais vous représentez néanmoins la présidence du Parlement - qu’ on réexamine ce problème et qu’ on exerce de nouvelles pressions sur les autorités turques afin qu’ elles mettent en uvre le processus de démocratisation plutôt que de le mettre en	veilleuse	.
140449447	martyre	martyr|martyre	martyr	Un nouveau pic de violences et de répressions frappant la population	martyre	et écrasée de Birmanie remet ce pays à notre ordre du jour .